lat_lon_tuple|agg_road_bumpiness|total_road_readings|seg_dist
((41.890465, -87.647598), (41.89053, -87.647598))|0.171076045829|1|7.21952361897
((41.889053000000004, -87.647568), (41.889133, -87.647568))|0.240031091723|1|8.88556532573
((41.893314000000004, -87.626762), (41.893353000000005, -87.62677))|0.225299941424|1|4.38230186808
((41.885777000000004, -87.62350500000001), (41.885777000000004, -87.623474))|0.376734280162|1|2.5730323727
((41.930325, -87.697586), (41.930386, -87.697586))|0.165679414225|1|6.77529296198
((41.919807, -87.637733), (41.919849, -87.637733))|0.253464036512|1|4.6649471312
((41.913979, -87.683044), (41.914013, -87.683098))|0.191967742121|1|5.85936937068
((41.947803, -87.698082), (41.947872, -87.698082))|0.13565014977|1|7.66387965138
((41.889511, -87.62957800000001), (41.889637, -87.62957800000001))|0.284977115901|1|13.9947665785
((41.886757, -87.650719), (41.886761, -87.650642))|0.170214500177|1|6.40640623542
((41.886542999999996, -87.66481800000001), (41.886547, -87.664734))|0.161469931267|1|6.9861452816
((41.878693, -87.626099), (41.878807, -87.626099))|0.0908044492623|1|12.6619074514
((41.89415, -87.629723), (41.894245, -87.629723))|0.119464481146|1|10.551618342
((41.886596999999995, -87.662224), (41.886596999999995, -87.662193))|0.389442592568|1|2.57299947132
((41.933468, -87.65855400000001), (41.933468, -87.658524))|0.450053780088|1|2.48817873337
((41.900608, -87.634354), (41.900669, -87.634361))|0.17065461761|1|6.80011217889
((41.895027, -87.647697), (41.895111, -87.647697))|0.236220781598|1|9.32985344476
((41.909912, -87.64825400000001), (41.909969, -87.64825400000001))|0.203541597468|1|6.33098861736
((41.896645, -87.63265200000001), (41.896656, -87.63265200000001))|0.486887304564|1|1.22176686378
((41.886711, -87.653938), (41.886711, -87.65385400000001))|0.157194669136|1|6.97198617398
((41.886768, -87.67714699999999), (41.886772, -87.677071))|0.175165543702|1|6.32360782995
((41.897343, -87.628235), (41.897403999999995, -87.628235))|0.179597299466|2|6.77525347493
((41.889133, -87.63619200000001), (41.889133, -87.636124))|0.17214262717|1|5.643775642
((41.896408, -87.647583), (41.896408, -87.64756))|0.365729367875|1|1.90870752291
((41.917198, -87.687988), (41.917233, -87.68804200000001))|0.216663975745|1|5.93139374771
((41.915051, -87.68467700000001), (41.915081, -87.68472299999999))|0.213109996728|1|5.06626887428
((41.877811, -87.62606), (41.877891999999996, -87.62606))|0.115527137059|1|8.9966170225
((41.916515000000004, -87.666161), (41.916534000000006, -87.666084))|0.261936543364|1|6.72757312303
((41.971066, -87.679245), (41.971127, -87.679245))|0.142929762126|1|6.77534174799
((41.886913, -87.667992), (41.886913, -87.667908))|0.155663190857|1|6.97196421381
((41.884357, -87.624115), (41.884357, -87.624077))|0.153740766574|1|3.15410951924
((41.938128999999996, -87.714905), (41.938137, -87.714905))|0.817161691862|4|0.888564232275
